date_,active_user,inactive_user,churn_user,reactive_user,entry_timestamp
2014-09-14,5027,65483,3130,908,2021-04-22 17:35:58.988654 UTC
2014-09-13,4637,65873,2608,742,2021-04-22 17:32:48.743211 UTC
2014-09-12,5674,64836,2712,665,2021-04-22 17:29:33.255574 UTC
2014-09-11,5430,65080,3780,1014,2021-04-22 17:26:16.917917 UTC
2014-09-10,3943,66567,2374,599,2021-04-22 17:23:06.845419 UTC
2014-09-09,4176,66334,2223,548,2021-04-22 10:59:01.525831 UTC
2014-09-08,5077,65433,2545,525,2021-04-22 10:55:49.706985 UTC
2014-09-07,5214,65296,3253,663,2021-04-22 10:52:43.587912 UTC
2014-09-06,4705,65805,2657,466,2021-04-22 10:49:25.910332 UTC
2014-09-05,5322,65188,2742,265,2021-04-22 10:46:18.076619 UTC
2014-09-04,5131,65379,3382,301,2021-04-22 10:42:59.898265 UTC
2014-09-03,4007,66503,2469,143,2021-04-22 10:39:44.216321 UTC
